,bioregion,country,endemicSpeciesCount,genusCount,georank,id,imageCount,imagedSpecimenCount,introducedSpeciesCount,name,parent,region,speciesCount,specimenCount,subfamilyCount,subregion
110,Indomalaya,Cambodia,13,62.0,country,124,2691.0,15.0,3,Cambodia,South-Eastern Asia,Asia,78.0,9803.0,9.0,South-Eastern Asia
111,Indomalaya,Indonesia,620,153.0,country,125,23539.0,1857.0,6,Indonesia,South-Eastern Asia,Asia,1753.0,37709.0,10.0,South-Eastern Asia
112,Indomalaya,Malaysia,87,136.0,country,127,15027.0,1307.0,9,Malaysia,South-Eastern Asia,Asia,984.0,27017.0,10.0,South-Eastern Asia
113,Indomalaya,Myanmar,20,74.0,country,128,4339.0,250.0,2,Myanmar,South-Eastern Asia,Asia,202.0,6917.0,10.0,South-Eastern Asia
114,Indomalaya,Philippines,195,120.0,country,129,12154.0,307.0,13,Philippines,South-Eastern Asia,Asia,577.0,24561.0,10.0,South-Eastern Asia
115,Indomalaya,Singapore,37,91.0,country,130,6215.0,308.0,1,Singapore,South-Eastern Asia,Asia,193.0,12484.0,10.0,South-Eastern Asia
116,Indomalaya,Thailand,50,94.0,country,131,9725.0,222.0,5,Thailand,South-Eastern Asia,Asia,404.0,25001.0,10.0,South-Eastern Asia
117,Australasia,Timor-Leste,1,11.0,country,132,652.0,3.0,1,Timor-Leste,South-Eastern Asia,Asia,12.0,3322.0,6.0,South-Eastern Asia
118,Indomalaya,Vietnam,67,108.0,country,133,8202.0,143.0,7,Vietnam,South-Eastern Asia,Asia,313.0,19572.0,10.0,South-Eastern Asia
119,Palearctic,Afghanistan,14,23.0,country,134,1920.0,26.0,2,Afghanistan,Southern Asia,Asia,85.0,7836.0,4.0,Southern Asia
120,Indomalaya,Bangladesh,0,57.0,country,135,4683.0,1.0,6,Bangladesh,Southern Asia,Asia,117.0,14431.0,6.0,Southern Asia
121,Indomalaya,Bhutan,5,13.0,country,136,884.0,23.0,0,Bhutan,Southern Asia,Asia,40.0,4712.0,4.0,Southern Asia
122,Indomalaya,India,288,126.0,country,137,14666.0,851.0,12,India,Southern Asia,Asia,833.0,38404.0,10.0,Southern Asia
123,Indomalaya,Maldives,0,1.0,country,139,31.0,0.0,0,Maldives,Southern Asia,Asia,1.0,3055.0,1.0,Southern Asia
124,Indomalaya,Nepal,9,58.0,country,140,2997.0,58.0,3,Nepal,Southern Asia,Asia,144.0,13386.0,8.0,Southern Asia
125,Indomalaya,Pakistan,6,18.0,country,141,821.0,19.0,2,Pakistan,Southern Asia,Asia,34.0,5930.0,6.0,Southern Asia
126,Indomalaya,Sri Lanka,85,87.0,country,142,7411.0,317.0,6,Sri Lanka,Southern Asia,Asia,277.0,17802.0,10.0,Southern Asia
127,Palearctic,Armenia,6,34.0,country,143,3928.0,10.0,2,Armenia,Western Asia,Asia,121.0,26935.0,5.0,Western Asia
128,Palearctic,Azerbaijan,2,14.0,country,144,283.0,9.0,0,Azerbaijan,Western Asia,Asia,18.0,1509.0,5.0,Western Asia
129,Palearctic,Bahrain,0,3.0,country,145,312.0,0.0,2,Bahrain,Western Asia,Asia,2.0,1361.0,2.0,Western Asia
130,Palearctic,Cyprus,7,11.0,country,146,479.0,28.0,0,Cyprus,Western Asia,Asia,26.0,412.0,4.0,Western Asia
131,Palearctic,Georgia,4,43.0,country,147,4942.0,2.0,1,Georgia,Western Asia,Asia,162.0,30597.0,6.0,Western Asia
132,Palearctic,Iraq,5,11.0,country,148,1244.0,19.0,3,Iraq,Western Asia,Asia,50.0,1723.0,3.0,Western Asia
133,Palearctic,Israel,23,55.0,country,149,6564.0,103.0,14,Israel,Western Asia,Asia,230.0,18350.0,9.0,Western Asia
134,Palearctic,Jordan,5,6.0,country,150,150.0,4.0,0,Jordan,Western Asia,Asia,13.0,109.0,2.0,Western Asia
135,Palearctic,Kuwait,2,9.0,country,151,1069.0,3.0,2,Kuwait,Western Asia,Asia,32.0,1177.0,3.0,Western Asia
136,Palearctic,Lebanon,2,14.0,country,152,982.0,36.0,1,Lebanon,Western Asia,Asia,37.0,1622.0,4.0,Western Asia
137,Palearctic,Oman,7,32.0,country,154,5421.0,60.0,4,Oman,Western Asia,Asia,113.0,10236.0,5.0,Western Asia
138,Palearctic,Qatar,0,6.0,country,155,371.0,1.0,1,Qatar,Western Asia,Asia,5.0,299.0,4.0,Western Asia
139,Palearctic,Saudi Arabia,32,48.0,country,156,8752.0,410.0,6,Saudi Arabia,Western Asia,Asia,251.0,16865.0,6.0,Western Asia
140,Palearctic,Turkey,39,42.0,country,158,6607.0,137.0,3,Turkey,Western Asia,Asia,264.0,24799.0,7.0,Western Asia
141,Palearctic,United Arab Emirates,3,35.0,country,159,5910.0,13.0,16,United Arab Emirates,Western Asia,Asia,137.0,16124.0,7.0,Western Asia
142,Palearctic,Yemen,20,42.0,country,160,5167.0,81.0,4,Yemen,Western Asia,Asia,100.0,13375.0,8.0,Western Asia
143,Palearctic,Belarus,0,17.0,country,161,2561.0,2.0,1,Belarus,Eastern Europe,Europe,62.0,29800.0,3.0,Eastern Europe
144,Palearctic,Bulgaria,1,42.0,country,162,5981.0,73.0,3,Bulgaria,Eastern Europe,Europe,172.0,36109.0,6.0,Eastern Europe
145,Palearctic,Czech Republic,6,33.0,country,163,4571.0,55.0,3,Czech Republic,Eastern Europe,Europe,129.0,33922.0,6.0,Eastern Europe
146,Palearctic,Hungary,1,36.0,country,164,4816.0,20.0,5,Hungary,Eastern Europe,Europe,126.0,34444.0,5.0,Eastern Europe
147,Palearctic,Poland,0,28.0,country,165,4331.0,39.0,4,Poland,Eastern Europe,Europe,117.0,35442.0,4.0,Eastern Europe
148,Palearctic,Romania,0,39.0,country,167,5510.0,6.0,4,Romania,Eastern Europe,Europe,130.0,35551.0,6.0,Eastern Europe
149,Palearctic,Slovakia,1,28.0,country,169,3778.0,10.0,2,Slovakia,Eastern Europe,Europe,96.0,31144.0,4.0,Eastern Europe
150,Palearctic,Ukraine,3,32.0,country,170,3759.0,22.0,4,Ukraine,Eastern Europe,Europe,109.0,22633.0,5.0,Eastern Europe
151,Palearctic,Åland Islands,0,1.0,country,171,89.0,0.0,0,Åland Islands,Northern Europe,Europe,1.0,254.0,1.0,Northern Europe
152,Palearctic,Channel Islands,0,14.0,country,172,1200.0,0.0,1,Channel Islands,Northern Europe,Europe,24.0,19342.0,4.0,Northern Europe
153,Palearctic,Denmark,0,17.0,country,173,3237.0,3.0,7,Denmark,Northern Europe,Europe,65.0,34673.0,4.0,Northern Europe
154,Palearctic,Estonia,0,11.0,country,174,2278.0,0.0,3,Estonia,Northern Europe,Europe,48.0,28963.0,2.0,Northern Europe
155,Palearctic,Finland,0,15.0,country,176,2704.0,3.0,4,Finland,Northern Europe,Europe,64.0,29879.0,4.0,Northern Europe
156,Palearctic,Guernsey,0,1.0,country,177,49.0,0.0,0,Guernsey,Northern Europe,Europe,1.0,446.0,1.0,Northern Europe
157,Palearctic,Iceland,0,0.0,country,178,0.0,0.0,0,Iceland,Northern Europe,Europe,0.0,0.0,0.0,Northern Europe
158,Palearctic,Ireland,0,8.0,country,179,1056.0,1.0,1,Ireland,Northern Europe,Europe,16.0,17618.0,4.0,Northern Europe
159,Palearctic,Isle of Man,0,2.0,country,180,126.0,0.0,0,Isle of Man,Northern Europe,Europe,2.0,3383.0,1.0,Northern Europe
160,Palearctic,Jersey,0,4.0,country,181,467.0,0.0,1,Jersey,Northern Europe,Europe,8.0,8135.0,1.0,Northern Europe
161,Palearctic,Latvia,0,11.0,country,182,1943.0,0.0,1,Latvia,Northern Europe,Europe,44.0,26863.0,2.0,Northern Europe
162,Palearctic,Lithuania,0,16.0,country,183,2193.0,1.0,1,Lithuania,Northern Europe,Europe,50.0,27220.0,3.0,Northern Europe
163,Palearctic,Norway,0,16.0,country,184,2645.0,1.0,1,Norway,Northern Europe,Europe,68.0,30789.0,4.0,Northern Europe
164,Palearctic,Sweden,0,19.0,country,186,3046.0,9.0,3,Sweden,Northern Europe,Europe,76.0,29633.0,4.0,Northern Europe
165,Palearctic,Albania,0,28.0,country,188,3083.0,8.0,1,Albania,Southern Europe,Europe,79.0,24556.0,6.0,Southern Europe
166,Palearctic,Andorra,0,26.0,country,189,3286.0,0.0,1,Andorra,Southern Europe,Europe,83.0,29608.0,4.0,Southern Europe
167,Palearctic,Bosnia and Herzegovina,0,7.0,country,190,275.0,1.0,0,Bosnia and Herzegovina,Southern Europe,Europe,10.0,628.0,2.0,Southern Europe
168,Palearctic,Croatia,0,46.0,country,191,5145.0,107.0,2,Croatia,Southern Europe,Europe,170.0,33445.0,6.0,Southern Europe
